WKT,State,statecode,District,districtcode,Sub-District,subdistrictcode,townname,towncode,urbanity,no_of_hh,population,popgrp,fmcg_retailer,latitude,longitude,coordinate
POINT (80.9617035 16.6337723),ANDHRA PRADESH,1,Krishna,1,Bapulapadu,1,Bapulapadu,1,Rural,4359,15223,10K - 20K,1,16.6337723,80.9617035,16.6337723 80.9617035
POINT (80.9656932 16.6054535),ANDHRA PRADESH,1,Krishna,1,Bapulapadu,1,Kanumolu,2,Rural,2223,8002,7K - 10K,1,16.6054535,80.9656932,16.6054535 80.9656932
POINT (80.9169384 16.611797),ANDHRA PRADESH,1,Krishna,1,Bapulapadu,1,Veeravalli,3,Rural,1852,6775,5K - 7K,1,16.611797,80.9169384,16.611797 80.9169384
POINT (80.8882777 16.6721236),ANDHRA PRADESH,1,Krishna,1,Bapulapadu,1,Mallavilli,4,Rural,1374,5082,5K - 7K,,16.6721236,80.8882777,16.6721236 80.8882777
POINT (80.9418198 16.6470982),ANDHRA PRADESH,1,Krishna,1,Bapulapadu,1,Veleru,5,Rural,1228,4655,4K - 5K,1,16.6470982,80.9418198,16.6470982 80.9418198
POINT (80.893817 16.5989518),ANDHRA PRADESH,1,Krishna,1,Bapulapadu,1,Ampapuram,6,Rural,1189,4110,4K - 5K,1,16.5989518,80.893817,16.5989518 80.893817
POINT (80.9829631 16.7339554),ANDHRA PRADESH,1,Krishna,1,Bapulapadu,1,Madicherla,7,Rural,1066,4069,4K - 5K,,16.7339554,80.9829631,16.7339554 80.9829631
POINT (80.9152434 16.6594427),ANDHRA PRADESH,1,Krishna,1,Bapulapadu,1,Remalle,8,Rural,1022,3779,3K - 4K,1,16.6594427,80.9152434,16.6594427 80.9152434
POINT (80.9560204 16.5627114),ANDHRA PRADESH,1,Krishna,1,Bapulapadu,1,Arugolanu,9,Rural,1050,3466,3K - 4K,,16.5627114,80.9560204,16.5627114 80.9560204
POINT (80.6480153 16.5061743),ANDHRA PRADESH,1,Krishna,1,Vijayawada (Rural),2,Vijayawada (M Corp.) (Part),10,Urban,3475,12552,12K - 20K,1,16.5061743,80.6480153,16.5061743 80.6480153
POINT (80.7496283 16.5123337),ANDHRA PRADESH,1,Krishna,1,Vijayawada (Rural),2,Gudavalli,11,Rural,819,6653,5K - 7K,1,16.5123337,80.7496283,16.5123337 80.7496283
POINT (80.6188156 16.6082902),ANDHRA PRADESH,1,Krishna,1,Vijayawada (Rural),2,Tadepalle,12,Rural,1022,3998,3K - 4K,1,16.6082902,80.6188156,16.6082902 80.6188156
POINT (80.5688428 16.5710275),ANDHRA PRADESH,1,Krishna,1,Vijayawada (Rural),2,Rayanapadu,13,Rural,935,3504,3K - 4K,1,16.5710275,80.5688428,16.5710275 80.5688428
POINT (78.2265183 15.3095471),ANDHRA PRADESH,1,Kurnool,2,Banaganapalle,3,Banumukkala (CT),14,Urban,3286,14307,12K - 20K,1,15.3095471,78.2265183,15.3095471 78.2265183
POINT (78.2490385 15.4139906),ANDHRA PRADESH,1,Kurnool,2,Banaganapalle,3,Palukur,15,Rural,2800,11674,10K - 20K,1,15.4139906,78.2490385,15.4139906 78.2490385
POINT (78.2798898 15.3748623),ANDHRA PRADESH,1,Kurnool,2,Banaganapalle,3,Nandavaram,16,Rural,1372,5283,5K - 7K,1,15.3748623,78.2798898,15.3748623 78.2798898
POINT (78.2091222 15.3584337),ANDHRA PRADESH,1,Kurnool,2,Banaganapalle,3,Enakandla,17,Rural,936,3928,3K - 4K,1,15.3584337,78.2091222,15.3584337 78.2091222
POINT (78.2279193 15.3194481),ANDHRA PRADESH,1,Kurnool,2,Banaganapalle,3,Illurukothapalle,18,Rural,842,3720,3K - 4K,,15.3194481,78.2279193,15.3194481 78.2279193
POINT (78.1443285 15.7796205),ANDHRA PRADESH,1,Kurnool,2,Kurnool,4,Gargeyapuram,19,Rural,1643,7561,7K - 10K,1,15.7796205,78.1443285,15.7796205 78.1443285
POINT (78.6046022 15.2413503),ANDHRA PRADESH,1,Kurnool,2,Kurnool,4,Rudravaram (Part),20,Rural,1535,7150,7K - 10K,1,15.2413503,78.6046022,15.2413503 78.6046022
POINT (78.1706939 15.835201),ANDHRA PRADESH,1,Kurnool,2,Kurnool,4,E.Thandrapadu,21,Rural,1657,6698,5K - 7K,1,15.835201,78.1706939,15.835201 78.1706939
POINT (78.0209657 15.8629982),ANDHRA PRADESH,1,Kurnool,2,Kurnool,4,Panchalingala,22,Rural,1301,5489,5K - 7K,,15.8629982,78.0209657,15.8629982 78.0209657
